Día,"Temperaturas (°C) Máxima","Temperaturas (°C) Mínima","Temperaturas (°C) Promedio","Lluvia Diaria mm (litros/m²) Mes Actual","Lluvia Diaria mm (litros/m²) Acum. Actual","Lluvia Diaria mm (litros/m²) Promedio Histórico","Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico","Viento Máximo Velocidad (Km/h)","Viento Máximo Dirección (°)","Viento Máximo Hora Local","Dirección del viento predominante"
1,33.8,25.9,29.9,4.0,4.0,,,24.0,340,15:00,Nor-Noroeste
2,28.1,26.8,27.5,0.0,4.0,,,12.9,310,20:00,Nor-Noroeste
3,31.3,25.5,28.4,0.0,4.0,,,14.8,280,13:00,Oeste
4,31.4,25.6,28.5,0.2,4.2,,,20.4,170,12:00,Sur
5,32.8,25.6,29.2,0.0,4.2,,,22.3,330,15:00,Noroeste
6,33.5,26.8,30.2,9.6,13.8,,,24.1,300,15:00,Noroeste
7,29.8,26.5,28.2,14.1,27.9,,,18.5,300,19:00,Variable
8,30.5,26.3,28.4,0.0,27.9,,,13.0,320,18:00,Nor-Noroeste
9,31.4,24.1,27.8,10.0,37.9,,,18.5,330,12:00,Nor-Noroeste
10,31.3,23.7,27.5,0.2,38.1,,,14.8,300,21:00,Nor-Noroeste
11,32.6,25.3,29,0.0,38.1,,,29.6,340,16:00,Oeste-Noroeste
12,31.6,25.6,28.6,8.8,46.9,,,25.9,310,15:00,Nor-Noroeste
13,32.8,25.8,29.3,0.0,46.9,,,20.3,280,16:00,Nor-Noroeste
14,32.5,26.2,29.4,4.4,51.3,,,18.5,340,13:20,Nor-Noroeste
15,,,,,,,,,,,
16,32.4,24.2,28.3,0.2,51.5,,,22.2,170,14:00,Norte
17,33,25.8,29.4,0.0,51.5,,,22.2,360,15:15,Nor-Noroeste
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,31,26,28.5,0.2,51.7,,,25.9,310,14:00,Noroeste
22,32.4,21.5,27,9.4,61.1,,,31.5,310,13:00,Noroeste
23,30.5,25.8,28.2,9.2,70.3,,,18.0,330,10:00,Noroeste
24,32,24.4,28.2,0.8,71.1,,,22.2,360,14:00,Noroeste
25,32,24.5,28.3,0.0,71.1,,,18.5,170,16:00,Sur
26,30.3,25.3,27.8,0.0,71.1,,,11.1,170,11:00,Sur
27,,,,3.6,74.7,,,24.1,310,18:19,Sur
28,32,24.6,28.3,0.0,74.7,,,20.3,160,13:00,Sur
29,,,,,,,,,,,
30,32.1,25.5,28.8,5.6,80.3,,,18.5,330,13:11,Noroeste
Promedio,31.7,25.3,28.5,3.2,,0.0,,20.5,,,
Extremo,33.8,21.5,30.2,14.1,,0.0,,31.5,,,
"Total Mensual",,,,80.3,,0.0,,,,,
