Día,"Temperaturas (°C) Máxima","Temperaturas (°C) Mínima","Temperaturas (°C) Promedio","Lluvia Diaria mm (litros/m²) Mes Actual","Lluvia Diaria mm (litros/m²) Acum. Actual","Lluvia Diaria mm (litros/m²) Promedio Histórico","Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico","Viento Máximo Velocidad (Km/h)","Viento Máximo Dirección (°)","Viento Máximo Hora Local","Dirección del viento predominante"
1,34.4,25.1,29.8,0.0,0.0,,,27.8,340,13:00,Norte
2,34.8,24.8,29.8,0.0,0.0,,,37.0,350,16:00,Norte
3,33.5,25.9,29.7,0.0,0.0,,,25.9,340,18:00,Norte
4,33.5,25.9,29.7,0.0,0.0,,,25.9,340,18:00,Norte
5,35.5,25,30.3,0.0,0.0,,,30.0,340,16:00,Norte
6,32.6,24.7,28.7,0.0,0.0,,,33.3,350,18:00,Nor-Noroeste
7,33.4,23.7,28.6,9.0,9.0,,,22.2,190,11:00,Sur
8,32.3,22.9,27.6,0.0,9.0,,,14.8,340,19:00,Sur
9,33.6,24.4,29,0.0,9.0,,,25.9,320,15:00,Noroeste
10,34.2,24.7,29.5,0.0,9.0,,,22.0,340,15:00,Norte
11,34.5,24.3,29.4,0.0,9.0,,,40.0,360,12:21,Norte
12,33.7,24.9,29.3,24.0,33.0,,,0.0,340,17:00,Norte
13,32.8,25.7,29.3,0.0,33.0,,,20.3,330,16:00,Norte
14,34.2,25,29.6,0.0,33.0,,,38.9,330,15:00,Nor-Noroeste
15,32.3,24.9,28.6,0.0,33.0,,,27.8,300,15:00,Noroeste
16,32.6,25.4,29,0.0,33.0,,,24.1,310,15:00,Noroeste
17,32.5,22.9,27.7,0.0,33.0,,,35.2,320,18:00,Sur
18,33.5,24.9,29.2,0.0,33.0,,,33.3,290,16:00,Nor-Noroeste
19,33.4,24.5,29,0.0,33.0,,,18.5,310,17:00,Norte
20,33.3,24.6,29,0.0,33.0,,,26.0,300,15:00,Oeste-Noroeste
21,32.8,23.7,28.3,0.0,33.0,,,27.8,310,18:00,Nor-Noroeste
22,32.4,23.2,27.8,0.0,33.0,,,22.2,140,13:00,Sur-Sureste
23,31.4,23.3,27.4,0.0,33.0,,,14.8,170,16:00,Sur-Sureste
24,32.1,24.5,28.3,0.0,33.0,,,13.0,170,16:00,Sur
25,34.3,24,29.2,0.0,33.0,,,24.0,310,16:00,Sur
26,34.2,22.9,28.6,0.0,33.0,,,31.5,310,18:00,Noroeste
27,34.8,23.2,29,0.0,33.0,,,22.0,300,17:00,Noroeste
28,33.7,24.9,29.3,21.0,54.0,,,20.4,300,15:00,Sur
29,32.8,25.1,29,0.0,54.0,,,25.9,30,15:00,Norte
30,,,,,,,,,,,
Promedio,33.4,24.4,29.0,1.9,,0.0,,25.2,,,
Extremo,35.5,22.9,30.3,24.0,,0.0,,40.0,,,
"Total Mensual",,,,54.0,,0.0,,,,,
