Día,"Temperaturas (°C) Máxima","Temperaturas (°C) Mínima","Temperaturas (°C) Promedio","Lluvia Diaria mm (litros/m²) Mes Actual","Lluvia Diaria mm (litros/m²) Acum. Actual","Lluvia Diaria mm (litros/m²) Promedio Histórico","Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico","Viento Máximo Velocidad (Km/h)","Viento Máximo Dirección (°)","Viento Máximo Hora Local","Dirección del viento predominante"
1,31.5,25.2,28.4,4.6,4.6,,,14.8,330,15:00,Noroeste
2,31,24.3,27.7,46.8,51.4,,,27.8,310,14:43,Oeste-Noroeste
3,30.6,24.6,27.6,2.0,53.4,,,14.8,310,16:00,Oeste
4,32.1,24.6,28.4,0.0,53.4,,,14.8,330,15:00,Oeste-Noroeste
5,31.5,24.6,28.1,4.8,58.2,,,14.8,170,15:00,Nor-Noroeste
6,31.5,24.6,28.1,6.3,64.5,,,16.6,350,13:22,Noroeste
7,31.1,24.6,27.9,0.3,64.8,,,11.1,310,16:00,Variable
8,31,24.6,27.8,0.0,64.8,,,13.0,160,15:00,Sur-Sureste
9,29.9,24.6,27.3,0.0,64.8,,,14.8,310,12:00,Noroeste
10,32.3,24.6,28.5,3.8,68.6,,,46.3,30,13:41,Oeste-Noroeste
11,31,24.2,27.6,1.6,70.2,,,20.4,310,17:00,Nor-Noroeste
12,33,25.5,29.3,19.1,89.3,,,16.7,310,16:00,Nor-Noroeste
13,31.3,25.5,28.4,0.4,89.7,,,9.2,230,14:00,Nor-Noroeste
14,29.7,26.2,28,1.0,90.7,,,26.0,330,16:00,Noroeste
15,32.2,25.4,28.8,4.3,95.0,,,26.0,340,16:00,Noroeste
16,31.3,26.5,28.9,0.0,95.0,,,16.7,310,16:00,Noroeste
17,32.3,25.8,29.1,0.0,95.0,,,24.1,310,12:00,Nor-Noroeste
18,30.9,26,28.5,1.8,96.8,,,20.4,340,09:00,Noreste
19,33.5,26.6,30.1,0.0,96.8,,,33.3,330,16:00,Nor-Noroeste
20,,,,,,,,,,,
21,32.8,27.1,30,0.2,97.0,,,22.2,330,20:00,Noroeste
22,29.6,23.5,26.6,15.4,112.4,,,31.5,10,12:00,Nor-Noroeste
23,32.1,24.7,28.4,2.3,114.7,,,27.8,340,13:00,Noroeste
24,32.6,26.4,29.5,0.0,114.7,,,18.5,330,10:00,Noroeste
25,31.3,27.4,29.4,0.0,114.7,,,18.0,320,17:00,Nor-Noroeste
26,31.3,26.4,28.9,0.0,114.7,,,22.2,12,18:00,Noroeste
27,31.3,25.3,28.3,0.0,114.7,,,18.5,290,13:00,Oeste-Noroeste
28,32.6,25.5,29.1,0.6,115.3,,,20.4,310,14:00,Oeste-Noroeste
29,32.8,25.9,29.4,0.8,116.1,,,14.8,340,10:00,Noroeste
30,31.3,25.3,28.3,20.5,136.6,,,12.9,320,08:00,Oeste-Noroeste
31,,,,,,,,,,,
Promedio,31.6,25.4,28.5,4.7,,0.0,,20.3,,,
Extremo,33.5,23.5,30.1,46.8,,0.0,,46.3,,,
"Total Mensual",,,,136.6,,0.0,,,,,
