Día,"Temperaturas (°C) Máxima","Temperaturas (°C) Mínima","Temperaturas (°C) Promedio","Lluvia Diaria mm (litros/m²) Mes Actual","Lluvia Diaria mm (litros/m²) Acum. Actual","Lluvia Diaria mm (litros/m²) Promedio Histórico","Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico","Viento Máximo Velocidad (Km/h)","Viento Máximo Dirección (°)","Viento Máximo Hora Local","Dirección del viento predominante"
1,31.7,26.5,29.1,2.4,2.4,,,20.4,300,16:00,Noroeste
2,31.7,27,29.4,1.8,4.2,,,18.5,310,18:00,Noroeste
3,30.7,25.4,28.1,0.0,4.2,,,16.6,310,19:00,Sur
4,29.4,25.6,27.5,8.0,12.2,,,29.6,120,10:29,Sureste
5,30.3,26.1,28.2,7.4,19.6,,,22.2,170,14:00,Este-Sureste
6,30.2,25.6,27.9,16.0,35.6,,,13.0,160,14:00,Este-Sureste
7,31.5,24.5,28,0.0,35.6,,,12.9,170,14:00,Sur
8,29.8,25,27.4,16.8,52.4,,,18.5,170,13:00,Sur
9,30.4,26.2,28.3,0.0,52.4,,,13.0,150,14:00,Norte
10,30.4,26.6,28.5,1.4,53.8,,,13.0,40,10:00,Nor-Noroeste
11,30.5,24.8,27.7,3.6,57.4,,,22.2,180,15:00,Sur
12,32.2,25.5,28.9,0.0,57.4,,,25.9,150,14:00,Sur
13,31.2,26.7,29,0.0,57.4,,,14.8,170,17:00,Sur
14,30.9,26.3,28.6,8.0,65.4,,,12.9,130,12:00,Este-Sureste
15,30.9,25.4,28.2,20.2,85.6,,,18.5,,16:00,Sur-Sureste
16,29.7,25.5,27.6,1.0,86.6,,,14.8,150,13:00,Sur-Sureste
17,30.9,24.9,27.9,1.2,87.8,,,14.8,170,13:34,Sur
18,32.3,23.9,28.1,0.0,87.8,,,22.2,320,14:31,Noroeste
19,34.5,26.2,30.4,0.0,87.8,,,14.8,290,16:00,Noroeste
20,30.5,25.3,27.9,12.2,100.0,,,14.8,220,13:00,Oeste-Suroeste
21,,,,,,,,,,,
22,30.4,24.6,27.5,1.2,101.2,,,13.0,180,14:00,Sur-Sureste
23,30.7,25.4,28.1,0.6,101.8,,,22.2,180,14:00,Sur
24,30,26.5,28.3,7.2,109.0,,,13.0,170,12:00,Sureste
25,29.4,25.9,27.7,2.8,111.8,,,16.6,150,16:00,Sur-Sureste
26,30.5,24.8,27.7,6.8,118.6,,,11.0,10,15:00,Oeste-Noroeste
27,29.1,24,26.6,19.8,138.4,,,31.5,200,14:06,Sur
28,28.8,24.1,26.5,36.2,174.6,,,22.2,210,14:00,Sur
29,29.9,25.2,27.6,20.6,195.2,,,18.5,180,13:00,Sur
30,,,,,,,,,,,
31,28,25.2,26.6,80.6,275.8,,,16.6,320,18:00,Sur
Promedio,30.6,25.5,28.0,9.5,,0.0,,17.9,,,
Extremo,34.5,23.9,30.4,80.6,,0.0,,31.5,,,
"Total Mensual",,,,275.8,,0.0,,,,,
