"CALIFICACION","2018","2019","2020","2021","2022","2023"
"A",286,285,630,551,382,308
"B",430,475,695,638,502,364
"C",643,670,583,593,626,439
"D",497,464,237,292,337,341
"F",445,554,95,216,257,317
"I",180,140,48,86,99,147
"N",223,230,164,194,236,179
"R",104,159,25,45,95,114
